set_point,position_error,current
20.96,0.164073,0.4373607944915254
21.92,0.300436,0.5926287725490196
22.879999999999995,1.64975,0.4965677725490196
23.840000000000003,2.432602,0.7002347725490197
24.8,3.727119,0.9286007725490196
25.760000000000005,4.424465,1.1168817725490197
26.72,4.662219,1.1513187725490197
27.68,4.553862,1.1829837725490198
28.64,4.087026,1.1556087725490198
29.6,4.413777,1.0195897725490195
30.56,4.303916,1.0585337725490196
31.52,4.422123,0.9999697725490198
32.480000000000004,3.596645,1.1313197725490198
33.44,3.739146,1.0142487725490197
34.4,2.923758,1.0697787725490198
35.36,2.615728,1.0269927725490198
36.32,2.364746,1.0831447725490198
37.28,2.308071,1.0373797725490197
38.24,2.105555,1.0122097725490198
39.2,1.209751,1.0554537725490196
40.16,0.820436,1.1054807725490197
41.12,0.625062,1.1527567725490198
42.08,0.799858,1.1111267725490197
43.04,0.496994,1.0970547725490198
44.0,0.744739,1.1002697725490198
44.96,0.541149,1.1477517725490198
45.92,0.560954,1.1156307725490198
46.88,0.380301,1.0256247725490195
47.84,0.217764,1.0893657725490198
48.8,0.155177,1.1059057725490198
49.75999999999999,0.036602,1.1523417725490197
50.72,0.147206,1.0968427725490195
51.68000000000001,-0.326558,1.1065997725490198
52.64,-0.289176,1.0973907725490195
53.6,-0.122431,1.1646777725490198
54.56,-0.047323,1.1564777725490198
55.52000000000001,0.199274,1.0901877725490197
56.47999999999999,-0.285698,1.0873597725490198
57.44,-0.578606,1.0757417725490197
58.400000000000006,-0.380747,1.1953587725490198
59.36,0.074028,1.1472377725490197
60.31999999999999,-0.33881,1.1740807725490197
61.28,-0.199363,1.1514027725490197
62.24000000000001,-0.119277,1.1217997725490196
63.2,-0.114587,1.1344107725490198
64.16,-0.023384,1.1467467725490197
65.12,0.130292,1.1402207725490197
66.08,0.222636,1.0933307725490198
67.03999999999999,0.050411,1.0667087725490196
68.0,0.028454,1.0931707725490198
68.96000000000001,0.000227,1.1019287725490197
69.92,0.167752,1.1639057725490198
70.88,-0.081986,1.1276687725490198
71.84,-0.189491,1.1282617725490198
72.8,-0.332183,1.1552617725490195
